sector,ebitdaMargins,profitMargins,grossMargins,revenueGrowth,operatingMargins,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,debtToEquity,returnOnEquity,totalCashPerShare,revenuePerShare,quickRatio,enterpriseToRevenue,enterpriseToEbitda,forwardEps,heldPercentInstitutions,priceToBook,shortRatio,beta,earningsQuarterlyGrowth,priceToSalesTrailing12Months,pegRatio,forwardPE,trailingPE,dividendYield,trailingPegRatio,R&D/Revenue,SGA/Revenue,Ticker
Healthcare,0.22817,0.0975,0.40487,0.085,0.15925999,0.29,2.373,0.062119998,14,73.057,0.14055,6.507,24.68,1.58,3.732,16.356,4.38,0.87071997,4.9243593,2.08,0.641662,0.264,3.46878,2.18,19.694063,36.304714,0.012999999,,0.04240555127216654,0.2021759616208344,BAX
Healthcare,0.27864,0.103319995,0.47294,0.073,0.16639,1.406,1.334,0.03904,13,76.361,0.088190004,8.08,69.993,0.723,4.479,16.073,13.68,0.8792,3.2769787,2.08,0.721743,1.07,3.8392396,2.23,19.935673,39.81314,0.013200001,,0.06612998814697747,0.2404188067957329,BDX
Financial Services,0.16403,0.10814,0.42613998,0.115,0.14974,-0.048,,,12,52.129,0.15874,16.571,51.124,,1.698,10.351,5.21,0.70816004,2.422753,1.62,0.812531,-0.057,1.7035438,1.91,17.50288,16.386343,0.0058999998,,,,WRB
Consumer Cyclical,0.0805,0.05052,0.22645001,0.005,0.064169995,0.351,1.132,0.101619996,24,93.151,0.63223,14.404,207.218,0.375,0.493,6.127,9.23,0.81039,5.4613323,2.38,1.587532,0.276,0.44050524,1.11,10.382449,9.265203,0.026600001,,,0.16776691633870763,BBY
Healthcare,0.25469,2.23474,0.57827,0.154,0.20895,1.978,3.795,0.02434,4,1.469,0.55127,44.692,99.959,2.703,6.677,26.214,13.53,0.79816,1.2513561,2.93,0.873766,1.987,6.4365425,2.7,47.397633,2.9086611,,,0.08948604390432845,0.3140158845014939,BIO
Healthcare,0.32294,0.20447999,0.68188006,0.201,0.26553,0.687,3.813,0.078150004,10,20.912,0.12438,7.101,26.372,2.79,15.797,48.916,9.03,0.95331,10.126009,1.66,1.269517,0.733,16.132608,4.15,46.809525,97.46138,0.0031,,0.07583305407332938,0.3412471322145748,TECH
Healthcare,0.27191,0.13925,0.82522005,-0.177,0.23021999,-0.502,1.701,0.06554,30,70.019,0.19474001,20.117,73.623,1.206,3.438,12.643,18.53,0.86286,2.920845,1.38,0.436598,-0.531,2.744261,-1.94,11.191581,20.297544,,,0.2963717775166238,0.1868036237597251,BIIB
Financial Services,0.41139,0.30972,0.50816,0.156,0.38963002,0.228,1.427,0.02727,12,21.949,0.16974,47.111,122.998,0.625,7.583,18.433,42.25,0.8621,3.0997458,2.73,1.202077,0.232,6.085027,1.8,17.772072,19.96623,0.018,,,0.14995371798827523,BLK
Financial Services,0.0,0.23257999,0.0,0.053,0.29266,0.282,,0.00825,16,,0.084259994,213.074,18.972,,-3.745,,4.57,0.83271,1.14952,1.76,1.108403,0.151,2.7781143,1.08,11.897155,13.852229,0.025899999,,,0.6112486078455637,BK
Industrials,0.02631,-0.06746,0.08625,-0.033,-0.00811,,1.325,-0.00217,,,,27.863,105.929,0.337,2.683,101.952,4.76,0.54223,,0.97,1.46892,,1.9010627,-5.13,42.32773,,,,0.03610763253379572,0.058247439231930126,BA
Consumer Cyclical,0.22017999,0.04145,0.74974996,0.771,0.17276,-0.046,2.483,0.04375,28,208.007,0.07305,296.249,224.697,2.374,10.916,49.575,100.38,0.92361,16.895323,1.15,1.220779,-0.04,10.165631,0.27,22.728233,246.64432,,,,0.5612124779281931,BKNG
Consumer Cyclical,0.15805,0.0507,0.19869,0.348,0.10669,-0.245,1.777,0.07359,18,64.8,0.14575,6.285,63.731,1.215,0.987,6.243,4.72,0.98456,1.5206726,5.26,1.471688,-0.135,0.6688959,0.45,8.930085,13.139029,0.014199999,,,0.09286768322675848,BWA
Real Estate,0.57738996,0.17643999,0.63707,0.117,0.3336,21.713,3.353,0.02641,20,166.13,0.07719,2.892,18.341,3.017,11.587,20.068,3.05,0.99516,3.3734083,5.92,1.164594,16.897,6.73533,6.92,40.478687,60.401176,0.0339,,,0.05293634248789948,BXP
Healthcare,0.26774,0.10078,0.70357,0.103,0.17254,,1.549,0.03944,27,57.478,0.07219,1.366,8.061,0.899,6.077,22.697,1.87,0.94207,3.90341,1.56,0.867532,,5.603055,1.18,24.117645,58.647594,,,0.11489962675274891,0.3768788459598507,BSX
Healthcare,0.44366002,0.15078,0.79871005,0.083,0.21174999,,1.521,0.0539,20,126.634,0.18985,7.901,20.885,1.36,3.79,8.542,7.84,0.76309997,4.103788,2.03,0.586275,,3.292255,1.39,8.775511,,0.032,,0.2054759081599655,0.1653982968632101,BMY
Technology,0.53639,0.24539,0.73908997,0.145,0.31632,0.521,2.641,0.07164,30,161.163,0.27556,29.459,66.951,2.266,9.65,17.99,36.05,0.82355005,9.728661,1.47,1.031327,0.502,8.844227,1.38,16.310957,39.20067,0.0286,,0.17683060109289617,0.04910746812386157,AVGO
Technology,0.20969999,0.10619,0.28465,0.172,0.13606,0.018,1.253,0.0688,7,254.65,0.34655997,2.722,44.591,1.083,4.875,23.247,7.04,0.89169,9.83025,3.58,0.881558,0.021,3.3433971,2.38,21.058239,31.847475,0.014199999,,,0.14904780022828765,BR
Financial Services,0.32915002,0.19732,0.45903,0.143,0.27843,0.104,1.176,0.05578,8,55.023,0.14923,3.393,10.451,0.825,6.999,21.265,2.29,0.74380994,4.647277,3.92,0.730866,0.092,6.4639874,2.43,29.515284,32.98682,0.006,,,,BRO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,BF.B
Industrials,0.050580002,0.03603,0.071090005,0.483,0.04735,0.85,1.363,0.107200004,20,104.486,0.39848998,1.559,157.959,1.335,0.753,14.895,6.05,0.95126,6.4686227,9.6,0.76077,0.81,0.5948745,1.41,15.998346,17.14311,0.020299999,,,0.030611387375389536,CHRW
Technology,0.31043,0.23297001,0.89552003,0.126,0.26149,0.086,1.701,0.1164,17,13.202,0.27576,3.658,10.869,1.487,16.385,52.783,3.56,0.88098997,16.108067,1.61,1.074805,0.091,14.245884,3.28,42.957863,61.665318,,,0.3853052546674464,0.2500604758076269,CDNS
Consumer Cyclical,0.29981002,-0.13568,0.5338,0.861,0.16877002,,1.19,0.023570001,14,544.74,-0.26588,5.015,39.962,0.303,5.38,17.944,1.31,0.95176005,3.7063458,4.25,2.937662,,2.154787,-0.89,64.64886,,,,,0.310732833237161,CZR
Consumer Defensive,0.22062,0.11395001,0.32536998,-0.044,0.18191999,-0.157,0.802,0.07829,17,163.021,0.31947002,0.229,27.63,0.342,2.212,10.029,2.91,0.52523,4.218633,5.84,0.497662,-0.155,1.6287075,6.68,15.529209,14.479333,0.0335,,0.009910335063709298,0.1635205285512034,CPB
Financial Services,0.0,0.39511,0.0,0.159,0.51345,0.34,,0.029590001,21,,0.20556,71.784,70.22,,2.613,,19.31,0.91916,1.1469558,1.71,1.653319,0.29,2.0612102,0.12,7.95391,5.7440443,0.0150999995,,,0.715263705569856,COF
Healthcare,0.01629,0.00678,0.04124,0.126,0.011829999,,1.122,0.02921,13,405.014,0.8061,8.741,576.145,0.444,0.109,6.683,6.2,0.88633,11.049949,2.33,0.997465,,0.09125237,1.3,8.741936,13.990707,0.0368,,,0.027901050674906287,CAH
Consumer Cyclical,0.06068,0.039219998,0.13103,0.618,0.05211,0.148,2.895,0.04291,13,363.574,0.26009,0.387,188.215,0.304,1.259,20.746,7.32,0.97126,3.4007032,6.0,1.491948,0.145,0.56725764,1.04,14.6653,14.788539,,,,0.09450701365991264,KMX
Consumer Cyclical,-2.11303,0.0,-0.42400002,36.853,-3.2877398,,,,,219.673,-0.53651,6.689,1.699,,26.302,-12.447,1.69,0.53539,1.6098268,1.56,2.167272,,12.89179,-8.21,12.485207,,,,,0.9879454926624738,CCL
Industrials,0.14097999,0.08071999,0.29147,0.117,0.12458,-0.629,1.721,0.06261,21,145.94,0.24882999,3.491,23.756,0.889,2.268,16.086,2.34,0.88038003,5.6807337,2.0,,-0.633,1.901501,1.68,19.32906,18.1428,0.013099999,,0.024402076359578907,0.1445204482608063,CARR
Healthcare,0.24490999,0.14269,0.34162998,0.212,0.17285,0.195,3.587,0.04968,13,98.584,0.14791,11.794,24.607,2.805,5.54,22.619,4.2,0.99294,4.3534665,1.24,1.338701,0.134,4.194659,1.97,24.36905,32.215927,,,,0.17183591795897948,CTLT
Industrials,0.18108,0.12731,0.29434,0.228,0.13494,1.764,1.456,0.05336,23,228.802,0.40715998,17.178,93.697,0.892,2.713,14.98,10.9,0.68342,6.0719967,1.4,0.897563,1.718,1.9852194,0.65,17.161469,20.010698,0.0218,,0.03307763237919601,0.10525592984245943,CAT
Financial Services,0.26484,0.1297,0.40105,0.03,0.21909,0.111,1.238,0.06962,13,41.378,0.13167,3.93,32.386,0.392,3.992,15.074,5.99,0.83169,3.5813613,2.87,0.626964,0.096,3.6065638,2.97,19.60601,28.068834,0.016,,,0.10627060780251525,CBOE
Real Estate,0.0943,0.055859998,0.22149,0.204,0.06312,1.331,1.355,0.0571,6,54.8,0.19532,8.439,77.798,1.039,1.473,15.619,5.64,0.98342,4.0623584,2.59,1.404675,1.366,1.2643721,1.9,17.487589,22.990675,,,,0.1326795571009135,CBRE
